,rmse,mae,r2,n
Mean Baseline,2832.2855277874905,2120.1728553408307,-0.0012661783520788727,1704
Ridge Regression,2561.1976174233278,1891.4099625362098,0.1812304964476552,1704
XGBoost Population,2497.7003174612587,1837.0045756715938,0.22132516761423016,1704
XGBoost Personalized,2311.4534669867708,1708.4145466498553,0.33312292251957953,1704
